isbn,authors,original_publication_year,original_title,average_rating,image_url
553381547,Pat Conroy,1986,The Prince of Tides,4.22,https://images.gr-assets.com/books/1320541074m/16735.jpg
312282990,Michael Chabon,2000,The Amazing Adventures of Kavalier & Clay,4.17,https://images.gr-assets.com/books/1479660066m/3985.jpg
802798233,Simone Elkeles,2008,Perfect Chemistry,4.07,https://images.gr-assets.com/books/1439792475m/4268157.jpg
805072454,J.M. Barrie, Michael Hague,1904,Peter Pan,4.1,https://images.gr-assets.com/books/1337714526m/34268.jpg
689865392,Scott Westerfeld,2005,Pretties,3.85,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
739465511,Michael Connelly,2005,The Lincoln Lawyer ,4.14,https://images.gr-assets.com/books/1370140049m/79885.jpg
375507256,David Mitchell,2004,Cloud Atlas,4.01,https://images.gr-assets.com/books/1406383769m/49628.jpg
767902890,Tim O'Brien,1990,The Things They Carried,4.12,https://images.gr-assets.com/books/1424663847m/133518.jpg
1844137872,Banksy,1988,Wall and Piece,3.83,https://images.gr-assets.com/books/1327904853m/114683.jpg
006197806X,Lauren Oliver,2012,Pandemonium,4.07,https://images.gr-assets.com/books/1310371414m/9593911.jpg
307277887,Jeff Lindsay,2004,Darkly Dreaming Dexter,3.89,https://images.gr-assets.com/books/1334404607m/17231.jpg
1841493007,Charlaine Harris,2002,Living Dead in Dallas,3.97,https://images.gr-assets.com/books/1329501808m/110494.jpg
765305119,Robert Jordan,1991,The Dragon Reborn ,4.23,https://images.gr-assets.com/books/1480096580m/34897.jpg
141439491,Jonathan Swift, Robert DeMaria Jr.,1726,Gulliver’s Travels,3.55,https://images.gr-assets.com/books/1427829692m/7733.jpg
743482751,William Shakespeare, Barbara A. Mowat, Paul Werstine, Gail Kern Paster, Robert          Jackson,1598,Much Ado About Nothing,4.06,https://images.gr-assets.com/books/1327885569m/12957.jpg
393320979,Unknown, Seamus Heaney,975,Beowulf,3.42,https://images.gr-assets.com/books/1327878125m/52357.jpg
1401207529,Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil,1987,Batman: Year One,4.23,https://images.gr-assets.com/books/1327940389m/59980.jpg
62409859,Harper Lee,2015,Go Set a Watchman,3.31,https://images.gr-assets.com/books/1451442088m/24817626.jpg
316143472,David Sedaris,2008,When You Are Engulfed in Flames,4.04,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
316134023,Laini Taylor,2011,Daughter of Smoke & Bone,4.04,https://images.gr-assets.com/books/1461353773m/8490112.jpg
1409151174,Victoria Aveyard,2015,Red Queen,4.08,https://images.gr-assets.com/books/1411472322m/17878931.jpg
1400069289,Charles Duhigg,2011,The Power of Habit,4.03,https://images.gr-assets.com/books/1366758683m/12609433.jpg
679751521,John Berendt,1994,Midnight in the Garden of Good and Evil,3.9,https://images.gr-assets.com/books/1427166915m/386187.jpg
1301949825,Colleen Hoover,2012,Hopeless,4.34,https://images.gr-assets.com/books/1353489892m/15717943.jpg
142437018,Frances Hodgson Burnett, Nancy Bond,1905,A Little Princess,4.2,https://images.gr-assets.com/books/1327868556m/3008.jpg
142406252,Sarah Dessen,2004,The Truth About Forever,4.13,https://images.gr-assets.com/books/1362767907m/51737.jpg
439861365,C.S. Lewis,1954,The horse and his boy,3.9,https://images.gr-assets.com/books/1388210968m/84119.jpg
1595143068,Richelle Mead,2010,Last Sacrifice ,4.42,https://images.gr-assets.com/books/1319850978m/6527740.jpg
64400026,Laura Ingalls Wilder, Garth Williams,1935,Little House on the Prairie,4.18,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
380002558,Margery Williams Bianco, William   Nicholson,1922,The Velveteen Rabbit,4.29,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
60589469,Robert M. Pirsig,1974,Zen and the Art of Motorcycle Maintenance,3.76,https://images.gr-assets.com/books/1410136019m/629.jpg
375759239,H.G. Wells, Arthur C. Clarke,1897,The War of the Worlds,3.8,https://images.gr-assets.com/books/1320391644m/8909.jpg
60887303,Sara Shepard,2006,Pretty Little Liars,3.9,https://images.gr-assets.com/books/1377830522m/162085.jpg
670241334,Don Freeman,1948,Corduroy,4.28,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1594200823,Michael Pollan,2006,The Omnivore's Dilemma,4.17,https://images.gr-assets.com/books/1393804353m/3109.jpg
316176486,Kate Atkinson,2013,Life After Life,3.74,https://images.gr-assets.com/books/1358173808m/15790842.jpg
446696129,Nicholas Sparks,2000,The Rescue,4.1,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
045057458X,Stephen King,1991,Needful Things,3.87,https://images.gr-assets.com/books/1315767817m/107291.jpg
385335997,Diana Gabaldon,1993,Voyager,4.38,https://images.gr-assets.com/books/1483278195m/10987.jpg
307348245,Stephen King,1981,Cujo,3.65,https://images.gr-assets.com/books/1394208144m/10603.jpg
747560595,Jeffrey Eugenides,1993,The Virgin Suicides,3.83,https://images.gr-assets.com/books/1319032910m/10956.jpg
441012183,Charlaine Harris,2004,Dead to the World,4.13,https://images.gr-assets.com/books/1468561630m/140077.jpg
141439599,Thomas Hardy, Tim Dolin, Margaret R. Higonnet,1891,Tess of the d'Urbervilles: A Pure Woman Faithfully Presented,3.77,https://images.gr-assets.com/books/1497218117m/32261.jpg
192840398,Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall,1856,Madame Bovary,3.64,https://images.gr-assets.com/books/1335676143m/2175.jpg
394820371,Norton Juster, Jules Feiffer,1961,The Phantom Tollbooth,4.22,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
765326353,Brandon Sanderson,2010,The Way of Kings,4.64,https://images.gr-assets.com/books/1388184640m/7235533.jpg
1841493015,Charlaine Harris,2003,Club Dead,4.03,https://images.gr-assets.com/books/1329501590m/140082.jpg
078685197X,Ned Vizzini,2006,It's Kind of a Funny Story,4.14,https://images.gr-assets.com/books/1420629730m/248704.jpg
034552554X,Vanessa Diffenbaugh,2011,The Language of Flowers,4.07,https://images.gr-assets.com/books/1333577674m/10032672.jpg
156389341X,Frank Miller, Klaus Janson, Lynn Varley,1986,Batman: The Dark Knight Returns,4.25,https://images.gr-assets.com/books/1327892039m/59960.jpg
446617792,James Patterson,2005,The Angel Experiment,4.08,https://images.gr-assets.com/books/1339277875m/13152.jpg
1573225517,Nick Hornby,1995,High Fidelity,3.94,https://images.gr-assets.com/books/1327928082m/285092.jpg
446696110,Nicholas Sparks,2003,The Guardian,4.14,https://images.gr-assets.com/books/1388195339m/15925.jpg
385721676,Margaret Atwood,2003,Oryx and Crake,4.0,https://images.gr-assets.com/books/1494109986m/46756.jpg
60574216,John Gray,1998,Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships,3.52,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
60899220,Anthony Bourdain,2000,Kitchen Confidential: Adventures in the Culinary Underbelly,4.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
99244721,Michael Crichton,1999,Timeline,3.83,https://images.gr-assets.com/books/1405420745m/7669.jpg
486266893,Voltaire,1759,Candide,3.76,https://images.gr-assets.com/books/1345060082m/19380.jpg
374480095,Natalie Babbitt,1975,Tuck Everlasting,3.85,https://images.gr-assets.com/books/1445184695m/84981.jpg
2253147699,Stephen King, Marie Milpois,1983,Christine,3.72,https://images.gr-assets.com/books/1327270815m/10629.jpg
1713221,P.D. Eastman,1960,Are You My Mother?,4.16,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
071483355X,E.H. Gombrich,1950,The Story of Art,3.83,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
312642962,Marissa Meyer,2013,Scarlet,4.3,https://images.gr-assets.com/books/1470056982m/13206760.jpg
751532711,Robert T. Kiyosaki,1997,Rich Dad , Poor Dad,3.95,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1442426640,Becca Fitzpatrick,2011,Silence ,4.16,https://images.gr-assets.com/books/1362408152m/10637766.jpg
670020559,Lev Grossman,2009,The Magicians,3.47,https://images.gr-assets.com/books/1313772941m/6101718.jpg
689875347,Libba Bray,2003,A Great and Terrible Beauty,3.79,https://images.gr-assets.com/books/1284558475m/3682.jpg
60529709,Jonathan Safran Foer,2002,Everything Is Illuminated,3.9,https://images.gr-assets.com/books/1479774440m/256566.jpg
752863886,Robert Ludlum,1986,The Bourne Supremacy,4.09,https://images.gr-assets.com/books/1335860600m/15769.jpg
425266745,Tammara Webber,2012,Easy,4.11,https://images.gr-assets.com/books/1349370267m/16056408.jpg
140439447,Charles Dickens, Jeremy Tambling,1849,David Copperfield,3.96,https://images.gr-assets.com/books/1461452762m/58696.jpg
316013684,Sherman Alexie, Ellen Forney,2007,The Absolutely True Diary of a Part-Time Indian,4.11,https://images.gr-assets.com/books/1327908992m/693208.jpg
679760806,Mikhail Bulgakov, Katherine Tiernan O'Connor, Diana Burgin, Ellendea Proffer,1967,Мастер и Маргарита,4.32,https://images.gr-assets.com/books/1327867963m/117833.jpg
553383043,Ursula K. Le Guin,1968,A Wizard of Earthsea,3.99,https://images.gr-assets.com/books/1353424536m/13642.jpg
763616052,Kate DiCamillo, Chris Sheban,2000,Because of Winn-Dixie,4.0,https://images.gr-assets.com/books/1456871914m/357664.jpg
743253973,John Knowles,1959,A Separate Peace,3.56,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
385339607,John Grisham,1995,The Rainmaker,3.91,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
142437239,Miguel de Cervantes Saavedra, Roberto González Echevarría, John Rutherford,1605,Don Quijote de La Mancha,3.85,https://images.gr-assets.com/books/1364958765m/3836.jpg
6480098,Robin Hobb,1995,Assassin's Apprentice,4.14,https://images.gr-assets.com/books/1320339497m/45107.jpg
345418921,Douglas Adams,1980,The Restaurant at the End of the Universe,4.22,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
385739141,Lauren Kate,2010,Torment,3.89,https://images.gr-assets.com/books/1362339749m/7740152.jpg
723247706,Beatrix Potter,1901,The Tale of Peter Rabbit,4.17,https://images.gr-assets.com/books/1485118382m/19321.jpg
64405044,C.S. Lewis, Pauline Baynes,1953,The Silver Chair,3.95,https://images.gr-assets.com/books/1336139237m/65641.jpg
765316897,Brandon Sanderson,2008,The Hero of Ages,4.46,https://images.gr-assets.com/books/1480717763m/2767793.jpg
679746048,Susanna Kaysen,1993,Girl, Interrupted,3.9,https://images.gr-assets.com/books/1475482930m/68783.jpg
61173398,Chelsea Handler,2007,Are You There, Vodka? It's Me, Chelsea,3.85,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
743278909,Richard Bach, Russell Munson,1970,Jonathan Livingston Seagull,3.8,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1481426303,Cassandra Clare,2014,City of Heavenly Fire,4.48,https://images.gr-assets.com/books/1460477794m/8755785.jpg
920668372,Robert Munsch, Sheila McGraw,1986,Love You Forever,4.34,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1416524517,Stephen King,2006,Cell,3.64,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
067002581X,Daniel James Brown,2013,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4.32,https://images.gr-assets.com/books/1354683116m/16158542.jpg
618391118,J.R.R. Tolkien, Christopher Tolkien, Ted Nasmith,1977,The Silmarillion,3.87,https://images.gr-assets.com/books/1336502583m/7332.jpg
451210859,Stephen King,1987,The Drawing of the Three,4.23,https://images.gr-assets.com/books/1370918050m/5094.jpg
330449605,Kate Morton,2008,The Forgotten Garden,4.12,https://images.gr-assets.com/books/1455283767m/3407877.jpg
99428644,Franz Kafka, Edwin Muir, Willa Muir, Max Brod,1925,Der Prozeß,3.98,https://images.gr-assets.com/books/1320399438m/17690.jpg
142501557,Sarah Dessen,2002,This Lullaby,4.03,https://images.gr-assets.com/books/1397779294m/22205.jpg
743275012,Jodi Picoult,2000,Plain Truth,3.97,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
385523386,Piper Kerman,2010,Orange Is the New Black: My Year in a Women's Prison,3.7,https://images.gr-assets.com/books/1320520714m/6314763.jpg
451528018,Arthur Conan Doyle, Anne Perry,1902,The Hound of the Baskervilles,4.09,https://images.gr-assets.com/books/1355929358m/8921.jpg
374275637,Daniel Kahneman,2011,Thinking, Fast and Slow,4.08,https://images.gr-assets.com/books/1317793965m/11468377.jpg
345350499,Marion Zimmer Bradley,1982,The Mists of Avalon,4.12,https://images.gr-assets.com/books/1388857089m/402045.jpg
689841582,Judy Blume,1970,Are You There God? It's Me, Margaret,3.89,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
446612707,Nicholas Sparks,2002,Nights in Rodanthe,3.82,https://images.gr-assets.com/books/1328145638m/15926.jpg
1476754454,Stephen King,2014,Mr. Mercedes,3.92,https://images.gr-assets.com/books/1468705326m/18775247.jpg
441014941,Charlaine Harris,2007,All Together Dead,4.05,https://images.gr-assets.com/books/1417964062m/140075.jpg
375706771,Chris Bohjalian,1997,Midwives,3.97,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
395389496,Chris Van Allsburg,1985,The Polar Express,4.29,https://images.gr-assets.com/books/1356707942m/420282.jpg
140544518,Jon Scieszka, Lane Smith,1989,The True Story of the Three Little Pigs,4.29,https://images.gr-assets.com/books/1327884731m/125507.jpg
425134350,Tom Clancy,1987,Patriot Games,4.11,https://images.gr-assets.com/books/1328007145m/32682.jpg
61124265,Paulo Coelho, Margaret Jull Costa,1998,Veronika decide morrer,3.69,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
385349947,Sheryl Sandberg, Nell Scovell,2013,Lean In: Women, Work, and the Will to Lead,3.94,https://images.gr-assets.com/books/1364250803m/16071764.jpg
441013333,Charlaine Harris,2005,Dead as a Doornail ,4.01,https://images.gr-assets.com/books/1468562419m/170210.jpg
62085484,Tahereh Mafi,2011,Shatter Me (Shatter Me, #1),4.01,https://images.gr-assets.com/books/1310649047m/10429045.jpg
441783589,Robert A. Heinlein,1959,Starship Troopers,3.99,https://images.gr-assets.com/books/1406457252m/17214.jpg
385342063,Sophie Kinsella,2011,I've Got Your Number,3.93,https://images.gr-assets.com/books/1327956732m/12033455.jpg
1857993284,Jostein Gaarder, Paulette Møller,1991,Sofies Verden,3.88,https://images.gr-assets.com/books/1343459906m/10959.jpg
553278223,Ray Bradbury,1950,The Martian Chronicles,4.12,https://images.gr-assets.com/books/1374049948m/76778.jpg
307592839,Jennifer Egan,2010,A Visit From the Goon Squad,3.64,https://images.gr-assets.com/books/1356844046m/7331435.jpg
753454947,Johanna Spyri, Angelo  Rinaldi, Beverly Cleary,1880,Heidi,3.97,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
61015725,Michael Crichton,2002,Prey,3.72,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
7202326,C.S. Lewis,1956,The Last Battle,4.02,https://images.gr-assets.com/books/1308814830m/84369.jpg
525950079,Ken Follett,2007,World Without End,4.23,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
312360304,P.C. Cast, Kristin Cast,2008,Chosen: A House of Night Novel,3.9,https://images.gr-assets.com/books/1393192825m/1326258.jpg
60874163,Alex Flinn,2007,Beastly (Beastly, #1, Kendra Chronicles, #1),3.84,https://images.gr-assets.com/books/1334260193m/544891.jpg
140424385,Geoffrey Chaucer, Nevill Coghill,1390,Tales of Caunterbury,3.48,https://images.gr-assets.com/books/1261208589m/2696.jpg
312348649,Emily Giffin,2006,Baby Proof,3.71,https://images.gr-assets.com/books/1361466583m/42149.jpg
375856110,Christopher Paolini,2011,Inheritance,4.08,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1840224029,Harriet Beecher Stowe,1852,Uncle Tom's Cabin or Life Among the Lowly,3.83,https://images.gr-assets.com/books/1414349231m/46787.jpg
60809248,Gaston Leroux, Alexander Teixeira de Mattos,1909,Le Fantôme de l'Opéra,3.97,https://images.gr-assets.com/books/1327867727m/480204.jpg
441014917,Charlaine Harris,2006,Definitely Dead (Sookie Stackhouse, #6),4.02,https://images.gr-assets.com/books/1468562748m/140079.jpg
156007754,José Saramago, Giovanni Pontiero,1995,Ensaio Sobre a Cegueira,4.08,https://images.gr-assets.com/books/1327866409m/2526.jpg
374158460,Jonathan Franzen,2010,Freedom,3.73,https://images.gr-assets.com/books/1316729686m/7905092.jpg
142421715,Ally Condie,2011,Crossed,3.52,https://images.gr-assets.com/books/1374335939m/15812814.jpg
1423100034,Ally Carter,2006,I'd Tell You I Love You, But Then I'd Have to Kill You,3.82,https://images.gr-assets.com/books/1334491180m/852470.jpg
1416562591,Aravind Adiga,2008,The White Tiger,3.71,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1841156736,Jonathan Franzen,2001,The Corrections,3.78,https://images.gr-assets.com/books/1355011305m/3805.jpg
1921351438,Barack Obama,1995,Dreams from My Father,3.81,https://images.gr-assets.com/books/1352340675m/88061.jpg
60541830,Michael Crichton,1980,Congo,3.55,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
689711735,Judith Viorst, Ray Cruz,1972,Alexander and the Terrible, Horrible, No Good, Very Bad Day,4.22,https://images.gr-assets.com/books/1405259744m/46677.jpg
618101365,Jhumpa Lahiri,1999,Interpreter of Maladies,4.12,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
60838655,Howard Zinn,1980,A People's History of the United States: 1492 to Present ,4.07,https://images.gr-assets.com/books/1494279423m/2767.jpg
679745653,Truman Capote,1958,Breakfast at Tiffany's,3.89,https://images.gr-assets.com/books/1477015353m/251688.jpg
345504968,Justin Cronin,2010,The Passage,4.04,https://images.gr-assets.com/books/1327874267m/6690798.jpg
60515198,Neil Gaiman,2005,Anansi Boys,4.0,https://images.gr-assets.com/books/1479778049m/2744.jpg
670011940,Sarah Dessen,2009,Along for the Ride,4.08,https://images.gr-assets.com/books/1479692098m/5664985.jpg
159420571X,Celeste Ng,2014,Everything I Never Told You,3.78,https://images.gr-assets.com/books/1386795198m/18693763.jpg
553383809,Isabel Allende, Magda Bogin,1982,La casa de los espíritus,4.2,https://images.gr-assets.com/books/1358615501m/9328.jpg
451155750,Stephen King,1979,The Dead Zone,3.9,https://images.gr-assets.com/books/1283509622m/11573.jpg
646418432,Agatha Christie, Ροζίτα Σώκου,1920,The Mysterious Affair at Styles,3.98,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
425200450,Agatha Christie,1934,Murder in the Calais Coach,4.16,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
307271080,Chimamanda Ngozi Adichie,2013,Americanah,4.26,https://images.gr-assets.com/books/1356654499m/15796700.jpg
446611085,James Patterson,2001,Suzanne's Diary for Nicholas,4.16,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
451167805,Stephen King,1980,Firestarter,3.85,https://images.gr-assets.com/books/1394208032m/233667.jpg
425263924,Sylvia Day,2013,Entwined with You,4.19,https://images.gr-assets.com/books/1362526983m/15731779.jpg
307266303,Christopher McDougall,2009,Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen,4.27,https://images.gr-assets.com/books/1320531983m/6289283.jpg
1616203218,Gabrielle Zevin,2014,The Storied Life of A.J. Fikry,3.98,https://images.gr-assets.com/books/1404582137m/18293427.jpg
590133373,Ludwig Bemelmans,1939,Mad About Madeline,4.22,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1585424331,Napoleon Hill,1937,Think and Grow Rich,4.17,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
60885378,Laura Ingalls Wilder, Garth Williams,1932,Little House In The Big Woods,4.16,https://images.gr-assets.com/books/1475195170m/8337.jpg
765356155,Susanna Clarke,2004,Jonathan Strange & Mr Norrell,3.8,https://images.gr-assets.com/books/1357027589m/14201.jpg
446696137,Nicholas Sparks,2001,A Bend in the Road,4.02,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1423146727,Rick Riordan,2013,The House of Hades,4.54,https://images.gr-assets.com/books/1464201430m/12127810.jpg
61448761,Michael  Grant,2008,Gone,3.85,https://images.gr-assets.com/books/1357796831m/2536134.jpg
446615862,Nicholas Sparks,2003,The Wedding,3.98,https://images.gr-assets.com/books/1385738787m/3466.jpg
330419129,Jon Krakauer,2003,Under the Banner of Heaven: A Story of Violent Faith,3.98,https://images.gr-assets.com/books/1356441391m/10847.jpg
61928127,Jess Walter,2012,Beautiful Ruins,3.67,https://images.gr-assets.com/books/1338161553m/11447921.jpg
307237699,Barack Obama,2006,The Audacity of Hope: Thoughts on Reclaiming the American Dream,3.69,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
743455967,Stephen King,1999,On Writing: A Memoir of the Craft,4.31,https://images.gr-assets.com/books/1436735207m/10569.jpg
312364083,Kristin Hannah,2008,Firefly Lane,4.04,https://images.gr-assets.com/books/1362435448m/1472878.jpg
345418972,Michael Crichton,1987,Sphere,3.77,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
312348673,Emily Giffin,2008,Love the One You're With,3.7,https://images.gr-assets.com/books/1361466590m/2120652.jpg
316206873,Robert Galbraith, J.K. Rowling,2014,The Silkworm,4.03,https://images.gr-assets.com/books/1392577290m/18214414.jpg
345476883,Anne Rice,1985,The Vampire Lestat,4.05,https://images.gr-assets.com/books/1347515742m/43814.jpg
62049801,Ann Patchett,2011,State of Wonder,3.85,https://images.gr-assets.com/books/1454428541m/9118135.jpg
374533571,Matthew Quick,2008,The Silver Linings Playbook,4.0,https://images.gr-assets.com/books/1358277412m/13539044.jpg
076072850X,Jules Verne, Anthony Bonner,1869,Vingt Mille Lieues Sous les Mers,3.86,https://images.gr-assets.com/books/1494979127m/33507.jpg
743272498,Philippa Gregory,2005,The Constant Princess,3.88,https://images.gr-assets.com/books/1355932704m/16181.jpg
151009988,Virginia Woolf, Maureen Howard,1925,Mrs Dalloway,3.78,https://images.gr-assets.com/books/1479336522m/14942.jpg
1843913720,Jonas Jonasson, Rod Bradbury,2009,Hundraåringen som klev ut genom fönstret och försvann,3.81,https://images.gr-assets.com/books/1334848488m/13486632.jpg
067102423X,Stephen King,1998,Bag of Bones,3.87,https://images.gr-assets.com/books/1365592796m/10589.jpg
786226749,John Irving,1985,The Cider House Rules,4.1,https://images.gr-assets.com/books/1327962519m/4687.jpg
451190750,Richard Bachman, Stephen King,1984,Thinner,3.66,https://images.gr-assets.com/books/1346947063m/10605.jpg
014044906X,Jules Verne, Michael Glencross, Brian W. Aldiss,1872,Le tour du monde en quatre-vingts jours,3.9,https://images.gr-assets.com/books/1308815551m/54479.jpg
60739495,Sharon Creech,1994,Walk Two Moons,3.95,https://images.gr-assets.com/books/1389035862m/53496.jpg
60589280,Paulo Coelho, Margaret Jull Costa,2003,Onze minutos,3.69,https://images.gr-assets.com/books/1358266987m/1430.jpg
316767727,J.D. Salinger,1953,Nine Stories,4.19,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
031610969X,Julie Powell,2005,Julie & Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen,3.67,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1416912045,Neal Shusterman,2007,Unwind,4.18,https://images.gr-assets.com/books/1297677706m/764347.jpg
385335989,Diana Gabaldon,1996,Drums of Autumn (Outlander, #4),4.34,https://images.gr-assets.com/books/1500688941m/10988.jpg
399256768,Marie Lu,2013,Prodigy,4.29,https://images.gr-assets.com/books/1336254717m/13414446.jpg
074348276X,William Shakespeare,1603,The Tragedie of King Lear,3.89,https://images.gr-assets.com/books/1331563731m/12938.jpg
435233076,Arthur Miller,1949,Death of a Salesman,3.49,https://images.gr-assets.com/books/1469024140m/12898.jpg
446579920,Nicholas Sparks,2007,The Choice,3.99,https://images.gr-assets.com/books/1385739133m/531350.jpg
452287588,Eckhart Tolle,2005,A New Earth: Awakening to Your Life's Purpose,4.02,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1591164419,Tite Kubo,2002,BLEACH―ブリーチ―　1,4.21,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
812513738,Robert Jordan,1992,The Shadow Rising ,4.21,https://images.gr-assets.com/books/1470841890m/9539.jpg
192076920X,Gregory David Roberts,2003,Shantaram,4.26,https://images.gr-assets.com/books/1333482282m/33600.jpg
441015891,Charlaine Harris,2008,From Dead to Worse,4.01,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
670032565,Stephen King, Ned Dameron,1991,The Waste Lands,4.24,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
451188454,Jeffery Deaver,1997,The Bone Collector,4.18,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
375408266,Bernhard Schlink, Carol Brown Janeway,1995,Der Vorleser,3.73,https://images.gr-assets.com/books/1327936339m/101299.jpg
805047905,Bill Martin Jr., Eric Carle,1967,Brown Bear, Brown Bear, What Do You See?,4.19,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
553283685,Dan Simmons,1989,Hyperion,4.21,https://images.gr-assets.com/books/1405546838m/77566.jpg
142000698,John Steinbeck,1947,The Pearl of the World,3.41,https://images.gr-assets.com/books/1437234939m/5308.jpg
61007226,William Peter Blatty,1971,The Exorcist,4.14,https://images.gr-assets.com/books/1375168676m/179780.jpg
031612558X,Stephenie Meyer,2009,The Short Second Life of Bree Tanner,3.51,https://images.gr-assets.com/books/1274335680m/7937462.jpg
067976402X,David Guterson,1994,Snow Falling on Cedars,3.8,https://images.gr-assets.com/books/1479863528m/77142.jpg
440174643,Alex Haley,1976,Roots,4.42,https://images.gr-assets.com/books/1329398936m/546018.jpg
930289455,Alan Moore, Brian Bolland, Tim Sale,1988,Batman: The Killing Joke ,4.36,https://images.gr-assets.com/books/1346331835m/96358.jpg
679732764,Ralph Ellison,1952,Invisible Man,3.84,https://images.gr-assets.com/books/1352854247m/16981.jpg
374105235,Ishmael Beah,2007,A Long Way Gone. Memoirs of a Boy Soldier,4.14,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
